R ,64 ,C ,64 ,N ,200 ,D ,5,Rate ,1.000170,T ,1.251000 ,
R ,64 ,C ,64 ,N ,200 ,D ,6,Rate ,1.000000,T ,1.382000 ,
R ,64 ,C ,64 ,N ,200 ,D ,8,Rate ,1.000000,T ,1.537000 ,
R ,64 ,C ,64 ,N ,200 ,D ,10,Rate ,1.000085,T ,1.561000 ,
R ,64 ,C ,64 ,N ,200 ,D ,12,Rate ,1.000000,T ,1.615000 ,
R ,64 ,C ,64 ,N ,200 ,D ,14,Rate ,1.000000,T ,1.943000 ,
R ,64 ,C ,64 ,N ,200 ,D ,16,Rate ,1.000255,T ,2.003000 ,
R ,64 ,C ,64 ,N ,200 ,D ,18,Rate ,1.000340,T ,2.237000 ,
R ,64 ,C ,64 ,N ,200 ,D ,20,Rate ,1.000170,T ,2.841000 ,
R ,64 ,C ,64 ,N ,200 ,D ,25,Rate ,1.000680,T ,4.465000 ,
R ,64 ,C ,64 ,N ,200 ,D ,30,Rate ,1.000848,T ,6.398000 ,
R ,64 ,C ,64 ,N ,220 ,D ,1,Rate ,1.000077,T ,1.170000 ,
R ,64 ,C ,64 ,N ,220 ,D ,2,Rate ,1.000000,T ,1.298000 ,
R ,64 ,C ,64 ,N ,220 ,D ,3,Rate ,1.000077,T ,1.243000 ,
R ,64 ,C ,64 ,N ,220 ,D ,4,Rate ,1.000000,T ,1.360000 ,
R ,64 ,C ,64 ,N ,220 ,D ,5,Rate ,1.000077,T ,1.321000 ,
R ,64 ,C ,64 ,N ,220 ,D ,6,Rate ,1.000154,T ,1.484000 ,
R ,64 ,C ,64 ,N ,220 ,D ,8,Rate ,1.000077,T ,1.624000 ,
R ,64 ,C ,64 ,N ,220 ,D ,10,Rate ,1.000155,T ,1.731000 ,
R ,64 ,C ,64 ,N ,220 ,D ,12,Rate ,1.000077,T ,2.221000 ,
R ,64 ,C ,64 ,N ,220 ,D ,14,Rate ,1.000387,T ,2.513000 ,
R ,64 ,C ,64 ,N ,220 ,D ,16,Rate ,1.000618,T ,2.252000 ,
R ,64 ,C ,64 ,N ,220 ,D ,18,Rate ,1.000232,T ,3.037000 ,
R ,64 ,C ,64 ,N ,220 ,D ,20,Rate ,1.000000,T ,2.840000 ,
