R ,64,C ,64,N ,300,D ,1,Rate ,1.043333,T ,0.343
R ,64,C ,64,N ,300,D ,2,Rate ,1.032328,T ,0.331
R ,64,C ,64,N ,300,D ,3,Rate ,1.016717,T ,0.335
R ,64,C ,64,N ,300,D ,4,Rate ,1.032704,T ,0.422
R ,64,C ,64,N ,300,D ,5,Rate ,1.020554,T ,0.523
R ,64,C ,64,N ,300,D ,6,Rate ,1.01717,T ,0.591
R ,64,C ,64,N ,300,D ,8,Rate ,1.012309,T ,0.847
R ,64,C ,64,N ,300,D ,10,Rate ,1.014706,T ,1.3
R ,64,C ,64,N ,300,D ,12,Rate ,1.010462,T ,1.622
R ,64,C ,64,N ,300,D ,14,Rate ,1.010727,T ,2.232
R ,64,C ,64,N ,300,D ,16,Rate ,1.013274,T ,3.546
R ,64,C ,64,N ,300,D ,18,Rate ,1.00881,T ,3.983
R ,64,C ,64,N ,300,D ,20,Rate ,1.009158,T ,4.86
R ,64,C ,64,N ,300,D ,25,Rate ,1.008598,T ,9.272
R ,64,C ,64,N ,300,D ,30,Rate ,1.008492,T ,14.454
R ,64,C ,64,N ,350,D ,1,Rate ,1.062857,T ,0.464
R ,64,C ,64,N ,350,D ,2,Rate ,1.044944,T ,0.438
R ,64,C ,64,N ,350,D ,3,Rate ,1.012146,T ,0.448
R ,64,C ,64,N ,350,D ,4,Rate ,1.027721,T ,0.529
R ,64,C ,64,N ,350,D ,5,Rate ,1.017164,T ,0.645
R ,64,C ,64,N ,350,D ,6,Rate ,1.012674,T ,0.798
R ,64,C ,64,N ,350,D ,8,Rate ,1.014553,T ,1.205
R ,64,C ,64,N ,350,D ,10,Rate ,1.015171,T ,2.144
R ,64,C ,64,N ,350,D ,12,Rate ,1.019362,T ,2.865
R ,64,C ,64,N ,350,D ,14,Rate ,1.01284,T ,3.571
R ,64,C ,64,N ,350,D ,16,Rate ,1.01434,T ,5.003
R ,64,C ,64,N ,350,D ,18,Rate ,1.010147,T ,5.833
R ,64,C ,64,N ,350,D ,20,Rate ,1.011113,T ,7.302
R ,64,C ,64,N ,350,D ,25,Rate ,1.010494,T ,15.651
R ,64,C ,64,N ,350,D ,30,Rate ,1.009452,T ,25.21
R ,64,C ,64,N ,400,D ,1,Rate ,1.0825,T ,0.64
R ,64,C ,64,N ,400,D ,2,Rate ,1.058626,T ,0.58
R ,64,C ,64,N ,400,D ,3,Rate ,1.020548,T ,0.598
R ,64,C ,64,N ,400,D ,4,Rate ,1.031429,T ,0.673
R ,64,C ,64,N ,400,D ,5,Rate ,1.019324,T ,0.842
R ,64,C ,64,N ,400,D ,6,Rate ,1.024364,T ,1.144
R ,64,C ,64,N ,400,D ,8,Rate ,1.016387,T ,1.573
