R ,8 ,C ,5 ,N ,280 ,D ,8,Rate ,1.188108,T ,6.962000 ,
R ,8 ,C ,5 ,N ,280 ,D ,10,Rate ,1.212687,T ,20.200000 ,
R ,8 ,C ,5 ,N ,280 ,D ,12,Rate ,1.173736,T ,32.754000 ,
R ,8 ,C ,5 ,N ,280 ,D ,14,Rate ,1.201997,T ,68.166000 ,
R ,8 ,C ,5 ,N ,280 ,D ,16,Rate ,1.206905,T ,153.222000 ,
R ,8 ,C ,5 ,N ,300 ,D ,1,Rate ,1.350000,T ,0.913000 ,
R ,8 ,C ,5 ,N ,300 ,D ,2,Rate ,1.202222,T ,0.764000 ,
R ,8 ,C ,5 ,N ,300 ,D ,3,Rate ,1.225806,T ,1.118000 ,
R ,8 ,C ,5 ,N ,300 ,D ,4,Rate ,1.230014,T ,1.218000 ,
R ,8 ,C ,5 ,N ,300 ,D ,5,Rate ,1.212560,T ,2.352000 ,
R ,8 ,C ,5 ,N ,300 ,D ,6,Rate ,1.229351,T ,4.032000 ,
R ,8 ,C ,5 ,N ,300 ,D ,8,Rate ,1.219525,T ,9.109000 ,
R ,8 ,C ,5 ,N ,300 ,D ,10,Rate ,1.233608,T ,27.624000 ,
R ,8 ,C ,5 ,N ,300 ,D ,12,Rate ,1.246266,T ,58.794000 ,
R ,8 ,C ,5 ,N ,300 ,D ,14,Rate ,1.236660,T ,109.968000 ,
R ,8 ,C ,5 ,N ,300 ,D ,1,Rate ,1.296667,T ,0.625000 ,
R ,8 ,C ,5 ,N ,300 ,D ,2,Rate ,1.177528,T ,0.593000 ,
R ,8 ,C ,5 ,N ,300 ,D ,3,Rate ,1.187396,T ,0.826000 ,
R ,8 ,C ,5 ,N ,300 ,D ,4,Rate ,1.250000,T ,1.445000 ,
